kind,destination_slug,destination_name,source_file,target_file,db_table,db_id,db_name,db_image_path,match_status,notes
place_candidate,ha-long,,HaLong/bao-tang-quang-ninh.jpg,Backend/static/img/places/ha-long/bao-tang-quang-ninh.jpg,places,560,Bảo Tàng Quảng Ninh,,exact,slug match
unmatched,ha-long,,HaLong/bien-bai-chay.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-long,,HaLong/cho-dem-ha-long.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-long,,HaLong/DaoTuanChau.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-long,,HaLong/hang-sung-sot.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-long,,HaLong/nui-bai-tho.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-long,,HaLong/ong-thien-cung.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-long,,HaLong/sun-world-ha-long.jpg,,,,,,manual_needed,no exact slug match in DB
place_candidate,ha-long,,HaLong/vinh-ha-long.jpg,Backend/static/img/places/ha-long/vinh-ha-long.jpg,places,1290,Vịnh Hạ Long,,exact,slug match
hotel_candidate,ha-long,,HaLong/wyndham-legend-ha-long.jpg,Backend/static/img/hotels/ha-long/wyndham-legend-ha-long.jpg,hotels,94,Wyndham Legend Hạ Long,/img/hotels/wyndham.jpg,exact,slug match
unmatched,ha-noi,,Hanoi/cau-long-bien.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-noi,,Hanoi/cho-ong-xuan.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-noi,,Hanoi/chua-mot-cot.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-noi,,Hanoi/ho-hoan-kiem.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-noi,,Hanoi/ho-tay.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-noi,,Hanoi/lang-chu-tich-ho-chi-minh.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-noi,,Hanoi/nha-tho-lon-ha-noi.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,ha-noi,,Hanoi/pho-co-ha-noi.jpg,,,,,,manual_needed,no exact slug match in DB
hotel_candidate,ha-noi,,Hanoi/sofitel-legend-metropole-ha-noi.jpg,Backend/static/img/hotels/ha-noi/sofitel-legend-metropole-ha-noi.jpg,hotels,1,Sofitel Legend Metropole Hà Nội,/img/hotels/metropole.jpg,exact,slug match
unmatched,ha-noi,,Hanoi/van-mieu-quoc-tu-giam.jpg,,,,,,manual_needed,no exact slug match in DB
hotel_candidate,hoi-an,,HoiAn/almanity-hoi-an.jpg,Backend/static/img/hotels/hoi-an/almanity-hoi-an.jpg,hotels,88,Almanity Hoi An,/img/hotels/almanity.jpg,exact,slug match
unmatched,hoi-an,,HoiAn/bien-an-bang.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hoi-an,,HoiAn/bien-cua-ai.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hoi-an,,HoiAn/cho-dem-hoi-an.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hoi-an,,HoiAn/cu-lao-cham.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hoi-an,,HoiAn/lang-gom-thanh-ha.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hoi-an,,HoiAn/lang-rau-tra-que.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hoi-an,,HoiAn/nha-co-tan-ky.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hoi-an,,HoiAn/pho-co-hoi-an.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hoi-an,,HoiAn/rung-dua-bay-mau.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hue,,Hue/cau-trang-tien.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hue,,Hue/cho-ong-ba.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hue,,Hue/chua-thien-mu.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hue,,Hue/co-do-hue.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hue,,Hue/lang-khai-inh.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hue,,Hue/lang-minh-mang.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hue,,Hue/lang-tu-uc.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hue,,Hue/nui-ngu-binh.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hue,,Hue/song-huong-hue.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,hue,,Hue/vinpearl-hotel-hue.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,moc-chau,,MocChau/ban-pa-phach.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,moc-chau,,MocChau/cau-kinh-tinh-yeu.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,moc-chau,,MocChau/cho-tinh-moc-chau.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,moc-chau,,MocChau/hang-doi-moc-chau.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,moc-chau,,MocChau/inh-pha-luong.jpg,,,,,,manual_needed,no exact slug match in DB
